State of the Academy 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1. What class are you in?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,2019,,2020,,2021,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,34.42%,359,10.64%,111,1.25%,13,3.93%,41,62.03%,647,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q13. What is your ethnicity? If applicable, select more than one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,African,,African American,,Asian American,,Caucasian,,East Asian,,Ethnically Jewish,,Hispanic,,Latinx,,Middle Eastern,,Native American,,Pacific Islander,,South Asian,,Southeast Asian,,West Indian/Caribbean,,White Hispanic,,Total,,,,,,,,,,,,,
Q103: Yes,2.18%,10,5.88%,27,20.70%,95,51.85%,238,15.47%,71,5.23%,24,6.10%,28,5.23%,24,3.05%,14,1.96%,9,1.09%,5,4.58%,21,6.10%,28,3.05%,14,3.92%,18,44.01%,459,,,,,,,,,,,,
"Q103: No, discipline should be harsher",4.55%,9,7.58%,15,25.25%,50,44.44%,88,15.15%,30,11.11%,22,8.08%,16,6.57%,13,4.55%,9,1.52%,3,1.01%,2,3.54%,7,6.57%,13,4.04%,8,4.55%,9,18.98%,198,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",3.63%,14,6.99%,27,13.47%,52,59.07%,228,8.81%,34,5.96%,23,7.77%,30,7.77%,30,4.40%,17,1.81%,7,0.78%,3,4.66%,18,5.44%,21,3.89%,15,5.18%,20,37.01%,386,,,,,,,,,,,,
Total,3.16%,33,6.62%,69,18.89%,197,53.12%,554,12.94%,135,6.62%,69,7.09%,74,6.42%,67,3.84%,40,1.82%,19,0.96%,10,4.41%,46,5.94%,62,3.55%,37,4.51%,47,100.00%,1043,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q14. With which religion or faith system were you raised on, if any? If applicable, select more than one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agnosticism,,Atheism,,Buddhism,,Catholicism,,Hinduism,,Islam,,Judiasm,,Mormonism,,Protestantism,,None,,Other (please specify),,Total,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,9.37%,43,11.11%,51,3.70%,17,34.64%,159,4.36%,20,1.96%,9,6.54%,30,0.44%,2,18.74%,86,17.21%,79,6.10%,28,44.01%,459,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",10.61%,21,13.64%,27,5.05%,10,25.76%,51,3.03%,6,4.04%,8,9.09%,18,1.01%,2,20.71%,41,20.20%,40,6.57%,13,18.98%,198,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",10.10%,39,10.36%,40,4.15%,16,38.60%,149,3.37%,13,3.11%,12,6.22%,24,0.52%,2,22.28%,86,13.47%,52,8.55%,33,37.01%,386,,,,,,,,,,,,,,,,,,,,
Total,9.88%,103,11.31%,118,4.12%,43,34.42%,359,3.74%,39,2.78%,29,6.90%,72,0.58%,6,20.42%,213,16.40%,171,7.09%,74,100.00%,1043,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q15. With which religion or faith system do you identify with now, if any? If applicable, select more than one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agnosticism,,Atheism,,Buddhism,,Catholicism,,Hinduism,,Islam,,Judaism,,Mormonism,,Protestanism,,None,,Other (please specify),,Total,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,23.31%,107,16.78%,77,1.74%,8,23.97%,110,3.70%,17,1.74%,8,5.66%,26,0.22%,1,13.51%,62,16.12%,74,4.36%,20,44.01%,459,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",21.21%,42,24.24%,48,4.55%,9,20.20%,40,2.02%,4,3.54%,7,7.07%,14,0.51%,1,14.14%,28,20.71%,41,6.06%,12,18.98%,198,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",21.76%,84,15.03%,58,3.89%,15,24.87%,96,2.07%,8,3.11%,12,4.66%,18,0.26%,1,14.77%,57,16.58%,64,6.48%,25,37.01%,386,,,,,,,,,,,,,,,,,,,,
Total,22.34%,233,17.55%,183,3.07%,32,23.59%,246,2.78%,29,2.59%,27,5.56%,58,0.29%,3,14.09%,147,17.16%,179,5.47%,57,100.00%,1043,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16. What is your annual net family income?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$500,000 or more",,"$250,000 or $499,999",,"$150,000 to $249,999",,"$100,000 to $149,999",,"$60,000 to $99,999",,"$35,000 to $59,999",,"$34,999 or less",,Unsure,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,19.83%,91,17.65%,81,11.98%,55,13.07%,60,6.10%,28,3.49%,16,2.83%,13,25.05%,115,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",21.72%,43,17.68%,35,14.14%,28,5.56%,11,8.08%,16,5.05%,10,4.04%,8,23.74%,47,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",31.87%,123,15.80%,61,11.40%,44,9.07%,35,7.25%,28,3.63%,14,4.92%,19,16.06%,62,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,24.64%,257,16.97%,177,12.18%,127,10.16%,106,6.90%,72,3.84%,40,3.84%,40,21.48%,224,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17. What is your socioeconomic status?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Upper class,,Upper-middle class,,Middle class,,Lower-middle class,,Lower class,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,24.62%,113,43.36%,199,23.75%,109,6.32%,29,1.96%,9,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",26.26%,52,45.96%,91,13.13%,26,11.11%,22,3.54%,7,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",36.01%,139,37.31%,144,17.36%,67,4.92%,19,4.40%,17,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,29.15%,304,41.61%,434,19.37%,202,6.71%,70,3.16%,33,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18. Are you on any form of financial aid?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,48.37%,222,51.63%,237,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",45.96%,91,54.04%,107,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",44.30%,171,55.70%,215,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,46.40%,484,53.60%,559,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19. Are you a varsity athlete?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,40.96%,188,59.04%,271,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",44.95%,89,55.05%,109,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",51.30%,198,48.70%,188,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,45.54%,475,54.46%,568,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20. What is your political affiliation?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conservative,,Independent,,Liberal,,Libertarian,,Other or Unsure,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,11.76%,54,13.07%,60,45.53%,209,3.05%,14,26.58%,122,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",17.68%,35,14.14%,28,44.44%,88,3.03%,6,20.71%,41,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",20.98%,81,12.44%,48,42.49%,164,3.63%,14,20.47%,79,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,16.30%,170,13.04%,136,44.20%,461,3.26%,34,23.20%,242,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21. Do you support affirmative action in the context of education -- “the practice or policy of favoring individuals belonging to groups known to have been discriminated against previously” (Oxford Dictionaries)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,62.96%,289,37.04%,170,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",56.57%,112,43.43%,86,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",57.25%,221,42.75%,165,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,59.64%,622,40.36%,421,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
